beer_name,brewery,ba_score,ranking,reviews,ratings,pdev,wants,gots,trade,location,style,alcohol,availability,note_desc
Rêve D'étoiles,Brasserie Bendorf,3.91,"#17,432",3,13,9.21%,0,4,0,France,American Black Ale,7.00%,Year-round,"
No notes at this time."
Malt Shop IPA,Manor Hill Brewing,4.11,"#8,843",3,16,8.03%,1,1,0,Maryland,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
(512) Whiskey Barrel Aged Double Pecan Porter,(512) Brewing Company,4.14,"#3,326",95,437,13.77%,215,116,5,Texas,American Porter,8.20%,Winter,"
(512) Double Pecan Porter is a robust porter accented by locally grown roasted pecans and subtly enhanced by aging in recently emptied oak whiskey barrels. For the first ever bottling, only one 200L barrel was bottled. Notes of chocolate, coffee and pecan marry with the subtle flavors of vanilla and whiskey to make this a wonderful winter warmer worth sharing and savoring. We sincerely hope you enjoy every sip."
Geisterzug Gose Quinced,Freigeist Bierkultur,4.05,"#7,107",14,68,6.42%,5,7,0,Germany,Leipzig Gose,5.00%,Rotating,"
No notes at this time."
Black Tie Black India Pale Ale,Mispillion River Brewing,3.89,"#15,282",12,56,8.74%,3,14,0,Delaware,American Black Ale,6.60%,Year-round,"
No notes at this time."
Sumatra Mountain Brown,Founders Brewing Company,4.29,"#1,036",431,"1,725",7.23%,106,466,12,Michigan,American Brown Ale,9.00%,Rotating,"
This bold, imperial brown ale gets its body from a team of malts including Caramel malt for sweetness, flaked barley for dense foam, a bit of Chocolate malt for its deep color and Aromatic and Munich malts to add even more depth. German and Perle hops add a touch of bitterness to balance the malty sweetness. The addition of rich Sumatra coffee takes this perfectly balanced imperial brown ale to a decadent level."
Son Of A Berserker!,Midnight Sun Brewing Co.,3.95,"#11,622",11,62,9.11%,7,8,1,Alaska,American Imperial Stout,8.50%,Rotating,"
""Small"" Imperial Stout. This is a malt-centric beer so hops are not the feature. This is ""Son of Berserker"" - second runnings, usually called ""small beer"", of Berserker Imperial Stout. So at 8% ABV, ""small"" is relative--literally, as this little guy is the son of a great beer. No oak aging. But taste iT. This beer is completely incredible."
Laughing Dog Rocket Dog Rye IPA,Laughing Dog Brewing,3.64,"#32,653",126,279,15.38%,7,23,0,Idaho,American IPA,6.90%,Rotating,"
No notes at this time."
Holy Crap! Imperial Red Ale,Mispillion River Brewing,3.97,"#9,991",25,105,9.07%,2,27,0,Delaware,American Imperial Red Ale,9.00%,Rotating,"
No notes at this time."
Supreme Clientele (2017),Casey Brewing & Blending,4.55,-,2,15,4.4%,1,0,0,Colorado,American Wild Ale,7.00%,Limited (brewed once),"
No notes at this time."
Dank Sinatra,Fat Head's Brewery & Saloon,4.36,"#2,407",6,23,7.57%,5,2,0,Ohio,American Imperial IPA,11.00%,Rotating,"
What’s a triple IPA you ask? Take an Imperial"
Breakfast Beer,Kenai River Brewing Co.,4.01,"#10,828",5,25,11.97%,2,1,0,Alaska,English Oatmeal Stout,4.00%,Rotating,"
Oatmeal, milk, and grains, the perfect way to end (or start) your day."
Kick.Kick.Snare,Right Proper Brewing Company - Shaw Brewpub,4.16,"#4,601",7,41,7.45%,3,3,0,District of Columbia,Berliner Weisse,3.10%,Rotating,"
Dry hopped Berliner Weisse, hopped with Citra and Cascade."
Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,4.03,"#6,371","3,086","11,649",11.66%,339,"3,398",2,California,American Pale Ale (APA),5.60%,Year-round,"
Generous quantities of premium Cascade hops give the Pale Ale its fragrant bouquet and spicy flavor."
Peak Organic Super Fresh,Peak Organic Brewing Company,4.11,"#4,185",66,213,9%,17,70,0,Maine,American Imperial Pilsner,7.60%,Rotating,"
This is Fresh Cut's assertive big brother. A wicked dry-hopped pilsner. Dripping with juicy, citrus hop character, this beer is a blast of deliciousness. We hope you enjoy."
Double Clip,Stoneface Brewing Co.,4.36,"#1,429",14,44,5.96%,5,10,0,New Hampshire,American Imperial IPA,7.80%,Rotating,"
A big, juicy, New England style double IPA that takes Full Clip over the edge! Using the same yeast and similar malt bill as Full Clip, but with a bigger, bolder hop profile. The result is a hazy, flavorful IPA with a very soft mouthfeel."
Aromatherapy IPA,Beyond the Pale Brewing Company,4.15,"#4,051",21,68,6.51%,4,12,0,Ontario,American IPA,6.50%,Rotating,"
No notes at this time."
1910 Black Lager,Wallace Brewing / Orehouse Tasting Room,3.66,"#29,899",9,27,7.1%,1,3,0,Idaho,German Schwarzbier,4.80%,Year-round,"
No notes at this time."
Stumblin' Monk Abbey Trippel,Stewart's Brewing Co.,4.1,"#7,575",11,25,11.22%,4,3,0,Delaware,Belgian Tripel,9.20%,Rotating,"
The legend returns! Belgian-style strong golden ale."
Hitachino Nest Ancient Nipponia,Kiuchi Brewery,3.9,"#14,864",11,50,10.77%,5,11,0,Japan,American Imperial Pilsner,8.00%,Rotating,"
""Nipponia is brewed using the revived Japanese breed of Kanego Golden barley which was first developed in 1900, along with another strain of hops called 'Japanese-bred Sorachi Ace'. Nipponia is a delightfully golden coloured beer with citrus edge and complex and lingering taste."""
Detritivore,Jester King Brewery,4.26,"#1,457",28,353,7.04%,87,85,6,Texas,Belgian Saison,5.50%,Rotating,"
Detritivore was made by adding the same cherries that were used to make Montmorency vs. Balaton to fresh beer in stainless steel and allowing the combined beer and fruit to referment to dryness. This was the same technique that we originally used to make La Vie en Rose with the raspberries from Atrial Rubicite. As with La Vie en Rose, the second refermentation of the fruit results in subtler, more delicate flavors, as compared with the more intense flavors that result from the initial refermentation."
Pale Ale Dry Hopped W/ Centennial And Simcoe,Stoneface Brewing Co.,4.44,"#2,610",1,15,7.43%,3,2,0,New Hampshire,American Pale Ale (APA),not listed,Rotating,"
No notes at this time."
Double Dry Hopped Scaled,Trillium Brewing Company,4.43,#301,118,833,5.87%,71,126,2,Massachusetts,New England IPA,7.00%,Rotating,"
An intensified version of Scaled and the latest addition to our line-up of aromatic, juicy IPA's. The secondary dry hop of El Dorado and Citra results in an enhanced nose of citrus, pineapple, and wet earth. The flavor brings intense lime, refreshingly pithy bitterness and just a touch of toasted malt. Medium bodied with a dry finish. "
Imperial Biscotti Break - Bourbon Barrel-Aged,Evil Twin Brewing,4.51,#134,142,"1,651",7.32%,676,461,57,New York,American Imperial Stout,11.50%,Rotating,"
No notes at this time."
Society & Solitude #9,Hill Farmstead Brewery,4.46,#306,30,170,5.61%,8,18,0,Vermont,American Imperial IPA,8.00%,Rotating,"
Double IPA witrh Nelson Sauvin, Motueka, and Amarillo hops."
Horny Devil,AleSmith Brewing Company,4.06,"#5,397",404,"1,025",12.07%,132,227,8,California,Belgian Strong Pale Ale,10.00%,Year-round,"
No notes at this time."
1957 All Star Ale,Braxton Brewing Company,3.83,"#21,367",4,11,9.66%,1,1,0,Kentucky,English Dark Mild Ale,4.00%,Rotating,"
1957 is a one of a kind beer. Utilizing specialty malts, this English Style Mild features a unique nuttiness and caramel-like sweetness that’s intended to remind you of America’s favorite ballpark snack. A faint hop presence to balance the light malt body makes this a great summer time, “take-me-out-to-the-ball-game” beer."
Coffee Milk Stout,Ravenous Brewing Co.,3.97,"#11,123",5,46,14.36%,4,8,0,Rhode Island,English Sweet / Milk Stout,not listed,Year-round,"
No notes at this time."
Master Of Karate - Double Dry-Hopped,Aslin Beer Company,4.46,#643,6,51,6.28%,5,4,0,Virginia,New England IPA,8.40%,Rotating,"
We have double dry-hopped one of our OGs. This beer is DOUBLE karate chopped (aka DOUBLE dry-hopped heavily) with Mosaic, Galaxy, and Amarillo. The result is a ninja star in the form of a beer or mango juice! Drink this beer fresh or we may nunchuck your a$$. Can you hear that? Chuck Norris may sneak up on you!"
All Day IPA,Founders Brewing Company,3.87,"#15,259","1,070","7,541",11.63%,269,"2,669",12,Michigan,American IPA,4.70%,Year-round,"
Formerly Endurance - All Day IPA."
Mehana Tsunami IPA,Hawai'i Nui Brewing / Mehana Brewing Company,3.51,"#35,458",4,19,15.95%,0,5,1,Hawaii,American IPA,7.20%,Rotating,"
No notes at this time."
Outlaw Milk Stout,Great Basin Brewing Co.,3.86,"#16,883",15,88,10.88%,4,18,0,Nevada,English Sweet / Milk Stout,4.90%,Year-round,"
Outlaws and gentle folk alike are captivated by this dark beer. It marries the deep coffee-like flavors of roasted barley with a silky texture contributed by rolled oats. 2008 World Beer Cup Silver Medal Winner and 2011 Bronze Medal Great American Beer Festival, sweet stout."
The Magic Man,Barrel Theory Beer Company,4.37,-,7,38,5.26%,1,0,0,Minnesota,American IPA,7.10%,Rotating,"
No notes at this time."
Barn Owl Blend No. 10,Bellwoods Brewery,4.22,-,6,26,5.92%,0,2,0,Ontario,American Wild Ale,6.50%,Limited (brewed once),"
This funk jam began in stainless as a mixed fermentation with Vermont Ale yeast and Brett D from our friends at Escarpment Labs. After primary, it was transferred to a single new (to us) red wine foeder where it spent a year developing heavy pineapple and leather funk notes from the Brett, as well as some subtle oak and wine character. The whole batch then went back into stainless where it conditioned on top of 1,200kg of apricot puree, followed by a generous Mosaic & Citra dry hop. Unlike our most recent Barn Owl releases, this version is not a sour — it is heavy on brett induced funk, paired with a heavy blanket of fresh apricot skin."
Alpha Dog Imperial IPA,Laughing Dog Brewing,3.73,"#26,572",311,680,13.67%,25,53,1,Idaho,American Imperial IPA,8.00%,Year-round,"
Brewed with only the finest Northwest malts and copious amounts of Columbus and Mt. Hood Hops. Our Imperial IPA is ahead of the pack."
Faded,Spindletap Brewery,4.41,-,6,12,7.48%,1,1,0,Texas,New England IPA,8.00%,Limited (brewed once),"
No notes at this time."
Alexander Supertramp,Black Mesa Brewing Co.,4.04,"#11,195",7,16,7.92%,1,3,1,Oklahoma,German Doppelbock,10.00%,Year-round,"
No notes at this time."
BB10,Birrificio Barley,3.88,"#17,577",14,22,11.86%,2,3,0,Italy,American Barleywine,10.00%,Year-round,"
No notes at this time."
Hat Trick Hop IPA,Tamarack Brewing Company,3.95,"#11,154",22,90,9.62%,7,18,0,Montana,American IPA,6.80%,Year-round,"
70 IBU's"
Idle Hands Double IPA,Helltown Brewing,4.26,"#1,561",26,206,8.69%,25,37,0,Pennsylvania,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Alpha Experiment: Citra,Country Boy Brewing,4.08,"#9,350",4,18,4.66%,0,2,0,Kentucky,American IPA,7.00%,Rotating,"
No notes at this time."
Cascade The Vine,Cascade Brewing / Raccoon Lodge & Brewpub,4.21,"#1,951",212,899,9.5%,273,221,14,Oregon,American Wild Ale,10.10%,Rotating,"
The Vine is a blend of sour wheat and blond ales aged in white wine barrels for up to 18 months with Gewurztraminer grapes. "
Everett (Barrel Aged),Hill Farmstead Brewery,4.36,#641,75,379,8.72%,339,59,10,Vermont,American Porter,8.00%,Rotating,"
Batch 2: Barrel aged for 18 months in hand select bourbon barrels from our favorite distilleries."
Jammy,Casey Brewing & Blending,4.42,"#1,117",7,37,3.62%,36,18,0,Colorado,Belgian Saison,8.00%,Rotating,"
Jammy is a Saison that was fermented and aged with mixed cultures from both Missouri and Colorado in French Oak wine barrels for 8 months on Missouri blackberries before being naturally conditioned in the bottle."
Knot Tree Porter,Mick Duff's Brewing Company,4.08,"#12,007",5,10,10.54%,1,2,0,Idaho,American Porter,5.40%,Year-round,"
No notes at this time."
The Vigne,de Garde Brewing,4.45,"#1,467",2,24,5.39%,1,4,0,Oregon,American Wild Ale,7.00%,Rotating,"
No notes at this time."
Sexy Chaos,Marshall Wharf Brewing Company / Three Tides Restaurant,4.3,"#1,264",34,145,10%,41,20,2,Maine,Russian Imperial Stout,11.20%,Rotating,"
We age Chaos Choas on vanilla beans and toasted oak chips to give the already sultry and complex Russian Imperial Stout a sexy twist. Very limited availablilty."
J.R.E.A.M. - Double Blueberry Peach,Burley Oak Brewing Co.,4.36,-,1,15,5.96%,3,1,0,Maryland,American Wild Ale,7.00%,Limited (brewed once),"
Imperial Fruited Sour Ale with Lactose"
Dark Doppelbock,Capital Brewery,4.08,"#5,642",58,97,7.84%,18,7,0,Wisconsin,German Doppelbock,7.80%,Winter,"
Dark Doppelbock pays tribute with an assortment of smooth toasted malt flavors brewed for a rich brown colored, full-flavored experience."
Signature Series Double Coffee Porter,Dry Dock Brewing Co.,4.3,"#1,548",12,78,9.3%,13,16,2,Colorado,American Porter,9.30%,Fall,"
No notes at this time."
Molé Temptress,Lakewood Brewing Company,4.14,"#3,585",20,174,8.45%,18,46,4,Texas,English Sweet / Milk Stout,9.10%,Rotating,"
No notes at this time."
Liquid Confidence,To Øl,4.11,"#6,306",9,36,6.81%,1,9,0,Denmark,American Imperial Stout,12.20%,Year-round,"
No notes at this time."
No. 03 Amber Ale,Gella's Diner & Lb. Brewing Co.,3.33,"#38,286",3,12,13.51%,0,4,0,Kansas,American Amber / Red Ale,5.00%,Year-round,"
Amber ale with hints of malt and caramel."
Hop Cakes,NoDa Brewing Company,4.16,"#3,111",35,216,9.13%,60,40,0,North Carolina,American Imperial IPA,10.00%,Rotating,"
NoDa Brewing will release four-pack cans of Hop Cakes, a double IPA brewed with maple syrup, at the taproom this Monday, Feb. 9. The cans will be distributed around town starting the next day, but if you want to try it on tap head to the brewery this Friday, Feb. 6 (kegs, too, will make their way to area bars next week). This beer first appeared as a small-batch NoDable beer almost three years ago when head brewer Chad Henderson interrupted a lumberjack convention to tell them about the beer. The brewery has since brewed larger amounts and had it on tap at the brewery, though not often. This will be the first time they have packaged the beer. This is the second in the brewery’s line of specialty cans. The first, Hoppy Holidays, was released last December. Though it was distributed to many bottle shops around town, Hoppy Holidays didn’t last long on the shelves. At more than 3,000 four-packs, Hop Cakes will be much more plentiful than Hoppy Holidays. Still, it’s limited. I’d recommend trying to find it sooner rather than later, as it’s sure to sell like — well, you know."
Dawk’s Classic Porter,North End Tavern & Brewery,3.6,"#30,949",5,12,9.72%,0,1,0,West Virginia,American Porter,8.00%,Year-round,"
Dark, rich and frothy, Dawk’s Classic Porter is by far our heartiest brew. Roasted chocolate and black patent malts create the ominous ebony color which dominates this beer."
Molson Canadian 67,Molson Coors Canada,1.89,"#44,910",15,62,33.86%,2,16,0,Ontario,American Light Lager,3.00%,Year-round,"
Premium light beer specially brewed to 67 calories per 341ml bottle – that’s about half the calories of wine or mixed drinks. Molson Canadian 67 is brewed using only the best this land has to offer - Canadian water, barley & no preservatives."
Temptress Chocolate Porter,Holgate Brewhouse / Keatings Hotel,3.72,"#26,942",34,57,12.37%,4,4,0,Australia,American Porter,6.00%,Rotating,"
No notes at this time."
The Ox,Holy Mountain Brewing Company,4.09,"#6,310",15,48,8.07%,15,11,0,Washington,Belgian Saison,7.00%,Rotating,"
A farmhouse ale brewed with citrus zest and dry hopped with Cascade. This batch was aged in several neutral wine barrels with a house mixed brettanomyces culture for several months. Refermented in the bottle with brettanomyces."
Pavement,Foam Brewers,4.41,#434,48,222,6.12%,21,31,0,Vermont,New England IPA,8.20%,Rotating,"
Mango, passion fruit, citrus"
Luminary,Upland Brewing Company,4.28,"#3,547",6,23,4.44%,0,2,0,Indiana,American Wild Ale,6.10%,Rotating,"
Persimmon is a native species of fruit bearing tree in North America. Paired with Peach and Pineapple, these fruits come together in wonderful harmony, with each delivering their own wonderful flavors and aromas on a foundation. Dry hopped with Galaxy, inviting aromas of passionfruit and citrus hop character meet the nose alongside rich fruit notes of banana, pear, peach and mango. Flavor is mildly tart, with rich peachy tropical notes balanced with delicate hops. Finish is dry, with lingering Galaxy impact. (On Bottle) No two foeders are the same. Each of our eleven foeders create subtle nuances of unique flavors that are typically blended together before aging on additional ingredients. This sour ale is different. Luminary explores the beer fermented in a single foeder, Twiggy Sawdust. One of the first foeders we aquired, Twiggy Sawdust showcases flavors of ripe peaches and pear with a distinct lactic acid character. We then aged the base beer on Pineapple, Peach and Persimmon fruits, and dry-hopped with Galaxy hops, creating a sour ale with tropical fruit flavors and a mild mild funk character."
